"THE UMA GROUP, INC.",CONV / LIQUOR STORE 
URBAN DWELLING LLC,REAL ESTATE HOLDING CO.
URBAN EDGE ADVISORS CORP.,REAL ESTATE BROKERAGE
URBAN EDGE FINANCE GP II LLC,GENERAL PARTNER OF VORNADO FINANCE II LP
URBAN EDGE FINANCE II LP,REAL ESTATE
URBAN EDGE II LIMITED PARTNERSHIP,AFFORDABLE HOUSING
URBAN EDGE MASS LLC,REAL ESTATE
URBAN EDGE MASSACHUSETTS HOLDINGS,REAL ESTATE
BOSTON EDGE REALTY LLC,"REAL ESTATE BROKERAGE ASSISTING CLIENTS WITH BUYING, SELLING, RENTING AND INV"
"URBAN ELEMENTS, LLC",RETAIL SALES
"URBAN ENGINEERS, INC.",DESIGN PLANNING CONSTR MGT OF ENGINEERING PROJECTS
"URBAN EOZ, INC.",AQCUISITION OF BUSINESSES AND REAL ESTATE
"URBAN EPICUREAN LLC, THE",PERSONAL CHEF SERVICE
"URBAN EQUITIES, LLC","OWN, MANAGE, AND LEASE REAL PROPERTY"
"URBAN EQUITY DEVELOPMENT COMPANY, A",REAL ESTATE DEVELOPMENT AND MANAGEMENT
URBAN EQUITY PARTNERS LLC,"THE INVESTMENT, DEVELOPMENT, AND OWNERSHIP OF REAL ESTATE."
"URBAN ESCAPE CHARTERS, LLC",RECREATIONAL AND SCENIC TOURS ON THE WATER.
URBAN ESCAPES AND EXPEDITIONS INC.,ANY LAWFUL ACTIVITY
URBAN EXCHANGE LLC,RESALE/USED CLOTHING
"URBAN EXPOSITION, LLC",TRADE SHOWS AND CONVENTIONS
URBAN EXPRESS MA LLC,WAREHOUSING AND LOGISTICS BUSINESS
"URBAN EYE MD ASSOCIATES, P.C.",EYE DOCTOR
URBAN FAMILY LIMITED PARTNERSHIP,INVESTMENT IN REAL ESTATE AND OTHER
"URBAN FINANCIAL GROUP, INC.",MORTGAGE BANKER
FINANCE OF AMERICA REVERSE LLC,REVERSE MORTGAGE BANKER/LENDER
URBAN FINANCIAL SERVICES INCORPORATED,TRANSACTION ADVISORY SERVICES
URBAN FITNESS LLC,FITNESS
URBAN FOOD AND BEVERAGE LLC,FOOD AND BEVERAGE COMPANY
"CITY FRESH FOODS, INC.",Address (no PO Box)
"URBAN FORESTRY SOLUTIONS, INC.",CONSULTING IN URBAN FORESTRY
"URBAN FULFILLMENT SERVICES, LLC","THIRD PARTY MORTGAGE PROCESSOR, UNDERWRITER, AND COLLECTIONS."
URBAN FURNITURE INC,FURNITURE RELATED BUSINESS
"URBAN GEAR, INC.",RETAIL-SPORTWEAR
URBAN GREEN INC.,REMODEL EXISTING RESIDENTIAL PROPERTIES
"URBAN GREEN INVESTMENTS III, LLC",REAL ESTATE INVESTMENTS
URBAN GREEN LANDSCAPE SERVICE COMPANY,LANDSCAPE SERVICES
URBAN GROWN FOODS LLC,URBAN AGRICULTURE INDOOR CULTIVATION OF VEGETABLES AND FRUITS. IN ADDITION
URBAN GROWN INC.,Address (no PO Box)
URBAN GROWTH PROPERTY LIMITED PARTNERSHIP,PARKING OWNERSHIP/OPERATION
URBAN HABITAT INITIATIVES INC.,URBAN HABITAT INITIATIVES INC.
"URBAN HARVEST, INC.",OPERATE 2 URBAN FARMS GROWING LEAFY GREEN VEGETABL
"URBAN HEARTH, LLC","CATERING, PROFESSIONAL CHEF AND EVENT MANAGEMENT SERVICES"
"URBAN HEATING AND AC, LLC",SERVICE AND INSTALLATION OF RESIDENTIAL/LIGHT COMMERCIAL HEATING AND AIR CO
"URBAN HOLDINGS, LLC",LAUNDRY LEASING
URBAN HOME HEALTH SERVICES INC.,HOME HEALTH AID AND PERSONAL SERVICES
"URBAN HOME MORTGAGE, LLC",MORTGAGE BANKING
URBAN HOMES ADVISORS LLC,"PROVIDE REAL ESTATE SERVICES FOR SALES, RENTALS, MANAGEMENT, DEVELOPMENT, C"
URBAN HORTICULTURE DESIGN LLC,LANDSCAPE DESIGN AND INSTALLATION
URBAN HOUND HOTEL LLC,DOG CARE SERVICES
URBAN HUNTERS LLC,THE GENERAL NATURE OF THE BUSINESS OF THE LLC IS TO ENGAGE IN THE INVESTMENT I
URBAN IDEA LAB LLC,"CONSULTING AND ADVISORY SERVICE INCLUDING BUT NOT LIMITED TO: REAL ESTATE, E"
URBANIMAGE CORPORATION,MEDIA CONSULTANT
"URBAN INSTITUTE, THE","PUBLIC POLICY RESEARCH & ANALYSIS,PRGRM EVALUATION"
URBAN INSULATION INC.,INSULATION CONTRACTOR
"URBAN INSULATION, INC.",APPLY INSULATION TO HVAC & PLUMBING SYSTEMS
URBAN KELSEY LLC,RETAIL INTERNET SALES
URBAN KIDS LLC,RETAIL STOREFRONT SELLING YOUTH APPAREL.
"URBAN LANDWORKS, LLC",THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO CARRY ON THE BUSINESS
URBAN LIFESTYLE LLC,"TO ENGAGE IN THE SALE OF SO-CALLED E-CIGARETTES, VAPOR DEVICES AND ANY AND A"
URBAN LIGHTS LLC,THE PURPOSE OF THE LIMITED LIABILITY COMPANY IS TO MANAGE REAL ESTATE AND OT
URBAN LIVING DEVELOPMENT LLC,"THE ACQUISITION OF, DEVELOPMENT, REDEVELOPMENT, MANAGEMENT, LEASING AND S"
URBAN LOTUS PHOTOGRAPHY LLC,THIS COMPANY WILL RENDER PHOTOGRAPHY SERVICES FOR EVENTS AND SPECIAL OCCA
URBAN MAN MADE LLC,"LLC OPERATING A RETAIL LOCATION IN PROVINCETOWN, MA"
"URBAN MANAGEMENT, INC.",REAL ESTATE MANAGEMENT & CONSULTING
"NORTH RIVER HOME CARE, INC.",STAFFING AGENCY FOR HOME HEALTH CARE PROFESSIONALS
URBAN MARKETS LLC,COMMON PAYMASTER
"URBAN MENTAL HEALTH CONSULTATION SERVICES, INC.",PSYCHOLOGY-RELATED CONSULTATION SERVICES
"URBAN MOBILE SENSORS, LLC",BUILDING SENSORS TO MONITOR URBAN ENVIRONMENTAL CONDITIONS SUCH AS AIR Q
"URBAN MOBILITY NOW, LLC",DELIVERY SERVICES
"URBAN MULTIFAMILY, LLC",REAL ESTATE.
URBAN NEIGHBORHOOD HOMES LLC,REAL ESTATE AND CONSTRUCTION
"URBAN NUT ROASTERS, LLC",WE ARE A MOBILE FOOD SERVICE COMPANY THAT PRODUCES FRESH ROASTED CINNAMO
"MURRIEL TOUSSAINT MICHEL EXECUTIVES, INC.",MARKETING AND DESIGN SERVICES
"INMAN OASIS, LLC",HOLISTIC WELLNESS CENTER/SPA SPECIALIZING IN MASSAGE THERAPY AND
"URBAN OUTFITTERS, INC.",RETAIL SALE OF CLOTHING AND ACCESSORIES.
"LEAPFROG INNOVATIONS, INC.","LEAPFROG INNOVATIONS, INC"
"URBAN PARKING CONCEPTS, LLC",URBAN PARKING CONCEPTS IS A AUTOMATED PARKING SUPPLIER TO THE US MARKET.
URBAN PAW PRINT LLC,"PET CARE, DOG WALKING AND CAT SITTING"
"URBAN PERCH REAL ESTATE, INC.",REAL ESTATE AGENCY
URBAN PEST CONTROL LLC,PEST CONTROL SERVICES
"URBAN PEST CONTROL, INC.",PEST CONTROL/MANAGEMENT
URBAN PIZZA INC,PIZZA AND OTHER FAST FOODS RESTAURANT
"URBAN PLANNING INTERNATIONAL, LTD.",INTERNATIONAL TRANSPORTATION PLANNING
"URBAN POLICY DEVELOPMENT, LLC","UPD CONSULTING IS A BALTIMORE-BASED, MINORITY-OWNED PUBLIC SECTOR MANAGE"
"URBAN POWER USA, INC.",DEVELOPMENT AND MANUFACTURE OF NEW WIND TURBINE
"URBAN PROPERTIES OF CALIFORNIA, INC.",REAL ESTATE INVESTMENTS
"URBAN PROPERTY INVESTMENTS,INC.",REAL ESTATE AND BUSINESS CONSULTING
URBAN PROPERTY MANAGEMENT CORP.,PROPERTY MANAGEMENT
"URBAN PURSUIT, INC.",INTERNET SOFTWARE
URBAN REAL ESTATE STRATEGIES LLC,THE GENERAL CHARACTER OF THE LLC SHALL BE TO DO ALL THINGS REASONABLY NECE
"URBAN REAL ESTATE, LLC",TO CONDUCT REAL ESTATE BROKERAGE AND HOME INSPECTION SERVICES AND ANY LA
URBAN REALTY BOSTON LLC,REAL ESTATE SERVICES
"RELO REDAC BOSTON, INC.",REAL ESTATE BROKERAGE
URBAN RENEWAL 13 LLC,"THE LLC IS FORMED FOR THE OBJECT AND PURPOSE OF, AND THE NATURE OF THE BUSINE"
URBAN RENEWAL LLC,"THE LLC IS FORMED FOR THE OBJECT AND PURPOSE OF, AND THE NATURE OF THE BUSINE"
URBAN RENEWAL V LLC,"THE LLC IS FORMED FOR THE OBJECT AND PURPOSE OF, AND THE NATURE OF THE BUSINE"
URBAN RENEWAL VI LLC,"THE LLC IS FORMED FOR THE OBJECT AND PURPOSE OF, AND THE NATURE OF THE BUSINE"
URBAN RENEWAL VII LLC,"THE LLC IS FORMED FOR THE OBJECT AND PURPOSE OF, AND THE NATURE OF THE BUSINE"
"URBAN RENEWAL VIII, LLC","THE LLC IS ORGANIZED FOR THE PURPOSE OF ACQUIRING, DEVELOPING, CONSTRUCTING,"
URBAN RENEWAL X LLC,"THE LLC IS FORMED FOR THE OBJECT AND PURPOSE OF,AND THE NATURE OF THE BUSINE"
URBAN RENEWAL XI LLC,"THE LLC IS FORMED FOR THE OBJECT AND PURPOSE OF, AND THE NATURE OF THE BUSINE"
URBAN RETAIL PROPERTIES CO. OF MASSACHUSETTS,"COMMERCIAL R.E.OWNERSHIP,MGMT,LEASG,DEV.&CONSULTG"
"URBAN RETAIL PROPERTIES, LLC","COMMERCIAL REAL ESTATE OWNERSHIP, MANAGEMENT, LEASING, DEVELOPMENT AND C"
URBAN SCHOOL SPECIALISTS LLC,EDUCATIONAL CONSULTATION FAMILY & STUDENT COUNSELING FAMILY & STUDENT AD
"URBAN SCHOOL SPECIALISTS, LLC",TO PROVIDE PROFESSIONAL EDUCATIONAL CONSULTING SERVICES TO PUBLIC AND
URBAN SECURITY PATROL INC.,SECURITY
"URBAN SETTLEMENT SERVICES, LLC",TITLE INSURANCE AGENT
"URBAN SHEDS, INC.","CONSTRUCTION, SALES AND MARKETING OF DECKS."
URBAN SPACES CONSTRUCTION LLC,CONSTRUCTION AND DEVELOPMENT
"URBAN SPACES HOLDINGS, LLC",REAL ESTATE PROPERTY INVESTMENT
"URBAN SPACES, LLC",REAL ESTATE DEVELOPMENT COMPANY.
"URBAN SPAS, INC.",FITNESS - HEALTH CLUB
"URBAN STRATEGY AMERICA FUND, L.P.","OWN, MANAGE AND DEVELOP REAL ESTATE"
URBAN STRENGTH LLC,"ANYTHING LEGAL UNDER LAW. WE WILL BE PROVIDING FITNESS, AND STRENGTH AND CO"
"URBAN TAILS, LLC",DOG WALKING SERVICE
"URBAN TITLES, INC.",TITLE EXAMINATIONS
"URBAN TRANSIT, INC.",TRANSPORTATION CONSULTANT
"B & K, INC.",INSURANCE BROKERAGE SERVICES
"URBAN VENTURES, LLC","BUYING, SELLING, RENTING REAL ESTATE OF ANY NATURE"
URBAN VILLAGE LEGAL PC,LAW FIRM
URBAN VILLAGE PROPERTIES INC.,REAL ESTATE BROKERAGE
URBAN VISION LIMITED PARTNERSHIP,PROPERTY MANAGEMENT
"URBAN VISION, LTD.",PROPERTY MANAGEMENT
"URBAN VISUAL MEDIA, LLC",RETAIL
"URBAN WALLACE & ASSOCIATES, INC.",MANAGEMENT CONSULTING
URBAN-SRP 1971 MASS AVE LLC,REAL ESTATE PROPERTY AND OPERATIONS
URBAN-SRP 90 HAMILTON LLC,REAL ESTATE PROPERTY AND OPEARATIONS
URBAN/NORDBLOM ASSOCIATES LIMITED,TO ENTER INTO MIDDLEBOROUGH VENTURE FOR THE PURPOSE OF ACQUIRING THE LAND
"URBANA GARDEN DESIGN, INC.",LANDSCAPE DESIGN
"URBANAIR, INC.",COMPUTER AND WIRELESS CONSULTING
"URBANCODE, INC.",SOFTWARE SALES & SERVICES
URBANE DEVELOPMENT GROUP LTD,DATA ANALYTICS AND MARKET RESEARCH SERVICES
URBANE SIMPLETON LLC,"IT CONSULTING, APPLICATION DEVELOPMENT, AND WEB DESIGN."
"URBANEMODE, LLC","ECOMMERCE, RETAIL"
"URBANESS, LLC","THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO ENGAGE IN INVESTMENT,"
"URBANETTI INSURANCE AGENCY, LLC",PROPERTY CASUALTY SERVICES IS THE GENERAL CHARACTER OF THE BUSINESS
URBANICA BERKELEY LLC,CONSTRUCTION CONTRACTOR
"URBANICA CONSTRUCTION, INC.",URBANICA INC
"URBANICA DESIGN, LLC",ARCHITECTURAL DESIGN
"URBANICA, INC.",REAL ESTATE DEVELOPMENT
URBANIST CAPITAL LLC,THIS BUSINESS WILL PRIMARILY FUNCTION AS AN UMBRELLA HOLDING COMPANY FOR B
URBANITY DANCE INC.,"MUSIC, PERFORMING AND FINE ARTS (NOT INSTRUCTION)"
URBANLINE PRODUCTS LLC,E-COMMERCE COMPANY SELLING VARIOUS PRODUCTS AND APPAREL
"URBANLINK, CORPORATION",HOLDING COMPANY
"URBANMERITAGE, LLC",THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO CARRY ON THE BUSINESS
URBANNOVA INCORPORATED,HOUSE FLIPPING BUSINESS
"URBANO HOLDINGS, LLC","THE PURCHASING, DEVELOPMENT, OPERATION AND SALES OF COMMERCIAL AND RESIDE"
"URBANO PAINTING, INC.",PAINTING
URBANO PSYCHOLOGICAL & WELLNESS,"PSYCHOLOGICAL SERVICES (INDIVIDUAL PSYCHOTHERAPY, GROUP THERAPY, COUPLES A"
"URBANO SHOP, INC.",RETAIL
URBANPC LLC,COMPUTER REPAIR AND SERVICE
"URBANROOTS, LLC",THE COMPANY’S BUSINESS IS:
"URBANSITTER, INC.",ONLINE MARKETPLACE CONNECTING PARENTS/SITTERS
URBANSLATE INC.,CONSULTING AND PROFESSIONAL SERVICES
"URBANTRANS CONSULTANTS, INC.",TRANSPORTATION PLANNING CONSULTANTS
"URBELIS LAW, LLC",LEGAL SERVICES- CRIMINAL DEFENSE LAW FIRM. LEGAL SERVICES TO BE PROVIDED BY: B
"URBGARDENS, LLC","LANDSCAPE CONSTRUCTION, DESIGN, MAINTENANCE"
"URBI ET ORBI LIVERY SERVICE, INC.",LIVERY SERVICE
URBINA ROOFING LLC,EXTERIOR CONSTRUCTION/ROOFING
URBISSIMO INC.,PROVIDER OF AUTOMATIC KIOSKS
"URC II, LLC",RESTAURANT
"URC, LLC",RESTAURANT
"URCHIN SYSTEMS, LLC",IT SERVICES
"URCIN, LLC",MANAGER OF MIXED-USE REAL ESTATE PROPERTY
"URDENTAL, INC.",DENTAL EQUIPMENT AND SUPPLIES WHOLESALE
"URED, LLC","REAL ESTATE DEVELOPMENT, LEASING AND MANAGEMENT"
"URELL, INC.",WHOLESALER-PLUMBING AND HEATING PRODUCT
URELLA DEVELOPMENT INCORPORATED,REAL ESTATE & OTHER
URELLA LLC,"THIS IS A MOBILE APPLICATION TRANSPORTATION COMPANY. URELLA, LLC PROVIDES U"
URENA AND SONS LLC,FINANCIAL SERVICES
"URETEK USA, INC.",USING EXPANDING POLYMERS: SOIL STABILIZATION AND..
AU REAL ESTATE CORP.,REAL ESTATE
"URETHANE AND SILICONE CASTINGS, INC.",URETHANE & SILICONE CASTINGS AND MOLDS
"EIGHT MARCHANT, INC.",EDUCATION AND ADMINISTRATIVE
"G&F MEDICAL, INC.",SILCONE PARTS MANUFACTURING
"URETHANE SYSTEMS NORTHEAST, INC.",URETHANE FOAM APPLICATIONS
"URG TELERADIOLOGY, LLC",PROVIDER OF RADIOLOGY SERVICES
"URGENCE OF PUERTO RICO, LLC",CONSTRUCTION MANAGEMENT FOR PRIVATE HOMES AND RENTAL MANAGEMENT FOR R
URGENT CARE CENTERS OF CENTRAL,MANAGE URGENT CARE CENTERS & URGENT CARE CENTERS (MEDICAL/HEALTHCARE)
"URGENT CARE CENTERS OF NEW ENGLAND, INC.",URGENT CARE CENTER MANAGEMENT CO.
"URGENT CARE HOLDINGS, INC.",HEALTHCARE
"PARTNERS URGENT CARE, LLC",URGENT CARE SERVICES
"URGENT CARE MEDICAL ASSOCIATES, LLC",THENATURE OF THE BUSINESS TO BE TRANSACTED OR THE PURPOSE TO BE CARRIED OUT
"URGENT CARE MSO, LLC",PROVIDE MANAGEMENT SERVICES
"URGENT CARE OF BRIGHTON, LLC",THE NATURE OF THE BUSINESS TO BE TRANSACTED OR THE PURPOSE TO BE CARRIED OUT
"URGENT CARE OF CHESTNUT HILL, LLC",THE NATURE OF THE BUSINESS TO BE TRANSACTED OR THE PURPOSE TO BE CARRIED OUT
"URGENT CARE OF MEDFORD, LLC",THE NATURE OF THE BUSINESS TO BE TRANSACTED OR THE PURPOSE TO BE CARRIED OUT
"URGENT CARE OF WALTHAM, LLC",THE NATURE OF THE BUSINESS TO BE TRANSACTED OR THE PURPOSE TO BE CARRIED OUT
"URGENT CARE OF WESTWOOD, LLC",THE NATURE OF THE BUSINESS TO BE TRANSACTED OR THE PURPOSE TO BE CARRIED OUT
"URGENT CARE SPECIALISTS, P.C.",AMBULATORY URGENT HEALTH CARE CENTER
"URGENT CARE OPERATIONS, PC",THE PRACTICE OF MEDICINE
"URGENT CARE PHYSICIANS, P.C.",MEDICAL CLINIC
URGENT CARGO LLC,"TRANSPORTATION: COURIER, ON-DEMAND, UNITED STATES MAIL SERVICES/DELIVERY"
"URGENT CREDIT COUNSELING, INC.",PROVIDES PRE-BANKRUPTCY CREDIT COUNSELING SERVICES
URGENT HELP CHELMSFORD PC,MEDICAL OFFICE
"COUNTER PRODUCTIONS, INC.",ENTERTAINMENT/PERFORMANCES
URI CORPORATION,RETAIL STORE
"URI FAMILY TRUST, LLC",THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO ENGAGE IN THE INVESTME
URIAS INVESTMENTS LLC,THE PURCHASE AND SALE OF REAL ESTATE PROPERTY WITH THE PURPOSE OF RENOVATIN
URIBE MAINTENANCE CORP,CLEANING
URIBE-LOPEZ LLC,"THE GENERAL CHARACTER OF THE LLC IS TO BUY, OWN, DEVELOP, RENT AND SELL REAL"
"URIEL ENTERPRISES, INC.",INDEPENDENT SALES
"URIM CAB, INC.",TAXI CAB
"URIO FOOD, INC.",RESTAURANT
URJA FOODS INC.,MANUFACTURING - COCONUT WATER
URMAN REALTY GROUP INC,"SALE, MANAGEMENT AND INVESTMENT IN REAL ESTATE"
BOSTON BIOPROCESS INC.,SALE OF DESINFECTANT PRODUCTS
URMILA LLC ALLURE THREADING DBA,EYEBROW THREADING BUSINESS
URMSTON LLC,"THE BUSINESS OF THE LLC SHALL BE TO PURCHASE, ACQUIRE, BUY, SELL, OWN, TRADE, H"
URNER BARRY CONVENTION SERVICES LLC,SALES
"URNUA, LLC","IS TO ENGAGE IN AND PROVIDE CONSULTING, PLACEMENT, AND OUTSOURCING SERVICE"
URO LLC,THE GENERAL CHARACTER OF THE BUSINESS OF THE LIMITED LIABILITY COMPANY IS TO
"URO-DYN, LLC",URODYNAMIC TESTING IN DOCTORS OFFICES
"URO-TECH MEDICAL SERVICES, LLC",THE GENERAL CHARACTER OF THE BUSINESS OF THE LIMITED LIABILITY COMPANY IS TO
UROCLINIC LLC,THIS IS A PHYSICIAN'S OFFICE SPECIALIZING IN UROLOGY HEALTHCARE. SERVICES REND
"UROLAZE, INC.",RESALE OF MEDICAL EQUIPMENT
"UROLOGIC SURGEONS OF NEW ENGLAND, LLC",PHYSICIAN SERVICES
"UROLOGY ASSOCIATES OF CAPE COD, P.C.",MEDICAL PRACTICE
"UROLOGY ASSOCIATES OF ESSEX NORTH, INC.",MEDICAL
"UROLOGY ASSOCIATES OF MIDDLESEX COUNTY, INC.",MEDICAL CARE
"UROLOGY CENTRAL, P.C.",UROLOGY
"UROLOGY CONSULTANTS OF THE NORTH SHORE, INC.",MEDICAL PRACTICE
"UROLOGY GROUP OF WESTERN NEW ENGLAND, P.C.",MEDICAL SERVICES
"UROLOGY OUTPATIENT CENTER OF CAPE COD, P.C.",OUTPATIENT SURGERY
"UROLOGY PRACTICE ASSOCIATES, P.C.",MEDICAL SERVICES
UROLOGY SERVICES OF MIDDLESEX COUNTY,THE GENERAL CHARACTER OF THE BUSINESS OF THE LLC IS TO PROVIDE PORTABLE
"UROLOGY SPECIALISTS OF MILFORD, LLC","MEDICAL PHYSICIAN, UROLOGY"
TD MEDICAL INC.,MEDICAL DEVICE DISTRIBUTION AND SALES
"UROMED, INC.",MAIL ORDER MEDICAL SUPPLIES
URPOSSE INC.,AN INTERACTIVE WEBSITE DESIGNED TO REWARD USERS
URQUHART FAMILY LLC,"OWNS & OPERATES A COMMERCIAL BUILDING COMPLEX, OFFERING OFFICE, MANUFACT"
URS AGENTS INC.,SERVE AS REGISTERED AGENT
"URS ARCHITECTS, LLC",THE COMPANY IS ORGANIZED FOR THE PURPOSE OF ENGAGING IN THE PRACTICE OF ARC
URS MIDWEST INC.,INTERSTATE COMMON CARRIER
URS CORPORATION,"ENGINEERING, CONSTRUCTION AND TECHNICAL SERVICES"
URS CORPORATION-NEW YORK,PROVIDE ENGINEERING AND CONSULTING SERVICES
"AECOM ENERGY & CONSTRUCTION, INC.","INTEGRATED ENGINEERING, CONSTRUCTION & MANAGEMENT"
"AECOM MANAGEMENT SERVICES, INC.","PROFESSIONAL, TECH & MANAGEMENT SUPPORT SERVICES"
"URS FEDERAL SUPPORT SERVICES, INC.","TECHNICAL SERVICES, PRIMARILY FOR THE FEDERAL GOV'"
"URS FEDERAL TECHNICAL SERVICES, INC.","TECHNICAL SERVICES, PRIMARILY FOR THE FEDERAL GOVT"
"URS GROUP, INC.",ENGINEERING SERVICES
"URS MANAGEMENT, LLC",THIRD PARTY DEBT COLLECTION VIA INTERSTATE COMMERCE
URSA BUSINESS SOLUTIONS LLC,"SOFTWARE SERVICES, DEVELOPMENT, MAINTANENCE AND SALES SUPPORT OF PRODUCT"
URSA CONCEPT LLC,PROJECT MANAGEMENT CONSULTANCY
"URSA ENTERPRISES, LLC",BUSINESS DEVELOPMENT
"URSA GLOBAL PRODUCTS, LLC",ONLINE BUSINESS
"URSA NAVIGATION SOLUTIONS, INC.",DEV/SUPPORT OF LOW-FREQUENCY GROUND WAVE PRODUCTS
URSCHEL LABORATORIES INC.,MANUFACTURING
"URSEQR, INC.",MOBILE/SOCIAL SOFTWARE
"URSHALIM MARKET, INC",CONVENIENCE STORE
"URSOUL, LLC","TO ENGAGE IN PERSONAL FITNESS TRAINING, AND ANY ACTIVITIES DIRECTLY OR INDIRE"
URSTADT BIDDLE PROPERTIES INC.,REAL STATE OWNERSHIP
"URSUIT USA, INC.",SAFETY PRODUCT DISTRIBUTION
"NASHOBA REAL ESTATE, INC.",RESIDENTIAL REAL ESTATE SALES
URSURE INC.,PRODUCES MEDICAL DEVICES
"EXPORT ENTERPRISES OF MA, INC.",TOWING & STORAGE OF MOTOR VEHICLES
"PAT'S TOWING, INC.",TOWING & STORAGE OF MOTOR VEHICLES
URTCON LLC,SOFTWARE DEVELOPMENT & CONSULTING
URTHECAST USA INC.,EARTH- IMAGING SYSTEM FOR GEOSPATIAL ANALYSIS
"URTHPACT CO., LLC",TO ACQUIRE AND HOLD INVESTMENTS OF EVERY KIND AND NATURE TO CARRY ON ANY
"URTHPACT INNOVATIONS CO., LLC",TO ACQUIRE AND HOLD INVESTMENTS OF EVERY KIND AND NATURE AND TO CARRY ON
"URTHPACT INNOVATIONS, LLC",TO ACQUIRE AND HOLD INVESTMENTS OF EVERY KIND AND TO CARRY ON ANY AND ALL
"URTHPACT, LLC","TO ENGAGE IN THE MANUFACTURE, PRODUCTION AND SALE OF COMPOSTABLE PRODUCT"
"URUS ENTERTAINMENT, INC.",ENTERTAINMENT
"URUS GRAPHICS, LLC",DIGITAL TECHNOLOGY
URUS MOUNTAIN LLC,"ROASTING, PACKAGING AND DISTRIBUTING COFFEE"
URUTRANS INC.,COMMERCE SERVICES
MEETCAREGIVERS INC,CONNECTS FAMILIES WITH CAREGIVERS
URVIDEORESUME INC.,JOB SEARCH WEBSITE THAT FOCUSES ON VIDEO RESUME
"URW AIRPORTS, LLC",OWN AND OPERATE REAL PROPERTY
"VENEZA,INC",SALES
"US DATA MANAGEMENT, LLC",VALIDATION CONSULTING SERVICES
US EXTERIORS INC.,NEW CONSTRUCTION
"US 1 CONSTRUCTION, INC.",CONSTRUCTION MGMNT SERVICE
US 420 NETWORK INC,"RETAIL,MARKETING,ADVERTISING,COMMUNICATIONS,MEDIA"
"US ADMINISTRATOR CLAIMS, LLC",THIRD PARTY CLAIMS ADMINISTRATOR
"USADVISORS INSURANCE AGENCY, LLC",NON RESIDENT INSURANCE SALES & SREVICE
US AH COMPANY INC,INTERNET RETAIL SALES
"US AIRCRAFT INSURANCE, LLC",INSURANCE AGENCY FOR AIRCRAFT
US AIRLINES INC.,AIRLINE COMPANY
"AMERICA WEST AIRLINES, LLC","PROVIDE EMPLOYEES FOR US AIRWAYS, INC."
"US ALLIANCE GROUP, INC.",DRIVER
"US APPRAISAL SERVICES, LLC",APPRAISAL MANAGEMENT COMPANY
"US ARKRAY, INC.",LABORATORY ANALYSIS AND DIAGNOSTIC
US ASIA ART COLLECTION ASSOCIATION INC,ANTIQUE BUY AND SELL
"US ASSET MANAGEMENT, INC.",DEBT COLLECTIONS
"US ASSURE INSURANCE SERVICES OF FLORIDA, INC.",INSURANCE INDUSTRY SALES AND SERVICE
US ATLANTIC EXPRESS INC,FOR HIRE MOTOR CARRIER
"US AUDIOLIST, LLC",THIS IS AN ONLINE CLASSIFIED BUSINESS WHERE MEMBERS COME TO OUR WEBSITE TO LI
US BALLET ASSOCIATES LLC,DANCE EDUCATION
US BOBAE MARKETING INC.,"IMPORT, SALES AND INSTALLATION OF EQUIPMENTS."
"US BOOKKEEPING, INC.",BOOKKEEPING SERVICE
US BOSTON INVESTMENT CORPORATION,INVESTMENTS
DYNAMICS DATA SYSTEMS LLC,TECHNOLOGY CONSULTING SERVICES
"US BRAZILIAN FASHION, INC.",WHOLESALE CONVENIENCE STORE
"US BRIGHT PAINTING, INC.",PAINTING
"US BUILDERS, LP",GENERAL CONTRACTOR
US BUS CARE INC,BUS SERVICES
US CABINET AND BUILDING PRODUCTS LLC,SALE OF CABINETS AND BUILDING PRODUCTS
"US CAPITAL GROUP, LLC","TO CONDUCT COMMERCIAL FINANCE SERVICES AND ACTIVITIES, INCLUDING LENDING A"
US CARBON CORPORATION,EXPORT
"US CARPENTRY GROUP, INC.","CARPENTRY, PAINTING, CLEANING"
"US CENTER FOR DEBT RELIEF, LLC",DEBT SETTLEMENT SERVICES
"US CLEANING COMPANY, INC.",CLEANING
"US CLEANING GROUP, INC.",CLEANING GROUP
US COMFORT EXPRESS LLC,TRANSPORTATION
"US COMPOUNDING, INC.",PERSONAL
US CONNECTION GROUP CORP,TRANSPORTATION
US CONSTRUCTION AND MAINTENANCE LLC,INSTALLATION AND FABRICATION OF GRANITE/MARBLE COUNTER TOPS. DEMOLITION A
US CONTRACTING SERVICE INC,GENERAL CONSTRUCTION
"US CONTRACTING, INC.",CONSTRUCTION
"NRAI CORPORATE SERVICES, INC.",REGISTERED AGENT SERVICES
"US DATA LOAD, INC.",SALES/SERVICE OF EXTERNAL COMPUTER HARDWARE
"US DERMSURGERY, P.C.",PROVIDE CARE IN MASSACHUSETTS
"US DISCOUNT PRODUCTS, LLC",THE GENERAL CHARACTER OF THE BUSINESS TO PURCHASE AND SELL PRODUCTS AT WH
US ENERGY FINANCE & CAPITAL LLC,US ENERGY FINANCE AND CAPITAL (USEFC) PROVIDES FINANCIAL ADVISORY SERVICES A
